stock-id,name,trading-status,industry,business,child-business,market-cap,update-date,一级行业,二级行业,三级行业,证券名称,证券代码,总市值,asset_subtype,sym,mktcap,ls,am,ric,product_subtype,am_u,yld,pc,pe,nc,ccy,nm,mktcap_u,ipo,suspend,涨跌幅,最新价
00001,長和,N,綜合企業,綜合企業,綜合企業,180778100400.0,2023-07-18T16:40:11,综合企业,综合企业,综合企业,长和,00001.HK,1807.8,ODSH,1,180.77,47.200,176.18,0001.HK,,M,6.20,-1.05,4.93,-0.500,HKD,長和,B,,,-1.05,47.200
00002,中電控股,N,公用事業,公用事業,電力,153860839713.0,2023-07-18T16:40:11,公用事业,公用事业,电力,中电控股,00002.HK,1538.6,ODSH,2,153.86,60.900,87.78,0002.HK,,M,5.09,-0.57,166.53,-0.350,HKD,中電控股,B,,,-0.57,60.900
00003,香港中華煤氣,N,公用事業,公用事業,燃氣,119796366029.16,2023-07-18T16:40:11,公用事业,公用事业,燃气,香港中华煤气,00003.HK,1198.0,ODSH,3,119.79,6.420,47.75,0003.HK,,M,5.45,-1.53,22.83,-0.100,HKD,香港中華煤氣,B,,,-1.53,6.420
00004,九龍倉集團,N,地產建築,地產,地產發展商,55619697351.4,2023-07-18T16:40:11,地产建筑,地产,地产发展商,九龙仓集团,00004.HK,556.2,ODSH,4,55.61,18.200,22.37,0004.HK,,M,2.20,-3.09,,-0.580,HKD,九龍倉集團,B,,,-3.09,18.200
00005,滙豐控股,N,金融,銀行,銀行,1265437059894.5,2023-07-18T16:40:11,金融,银行,银行,汇丰控股,00005.HK,12654.4,ODSH,5,"1,265.43",62.950,1.07,0005.HK,,B,5.23,+0.24,10.80,+0.150,HKD,匯豐控股,B,,,0.24,62.950
00006,電能實業,N,公用事業,公用事業,電力,86629424510.1,2023-07-18T16:40:11,公用事业,公用事业,电力,电能实业,00006.HK,866.3,ODSH,6,86.62,40.650,66.30,0006.HK,,M,6.94,0.00,15.35,0.000,HKD,電能實業,B,,,0.0,40.650
00007,智富資源投資,N,非必需性消費,家庭電器及用品,消費電子產品,568825325.46,2023-07-18T16:40:10,非必需性消费,家庭电器及用品,消费电子产品,智富资源投资,00007.HK,5.7,ODSH,7,568.82,0.180,,0007.HK,,,,0.00,1.90,0.000,HKD,智富資源投資,M,,,0.0,0.180
00008,電訊盈科,N,電訊,電訊,電訊服務,31190742143.47,2023-07-18T16:40:11,科技,电讯,电讯服务,电讯盈科,00008.HK,311.9,ODSH,8,31.19,4.030,13.17,0008.HK,,M,9.44,-0.25,197.55,-0.010,HKD,電訊盈科,B,,,-0.25,4.030
00009,金奧國際,N,地產建築,地產,地產發展商,78513393.838,2023-07-18T16:40:11,地产建筑,地产,地产发展商,金奥国际,00009.HK,0.8,ODSH,9,78.51,0.022,6.60,0009.HK,,K,,0.00,,0.000,HKD,金奧國際,M,,,0.0,0.022
00010,恒隆集團,N,地產建築,地產,地產投資,15631377418.16,2023-07-18T16:40:11,地产建筑,地产,地产投资,恒隆集团,00010.HK,156.3,ODSH,10,15.63,11.480,8.04,0010.HK,,M,7.49,-1.20,5.75,-0.140,HKD,恒隆集團,B,,,-1.2,11.480
00011,恒生銀行,N,金融,銀行,銀行,209155595318.4,2023-07-18T16:40:11,金融,银行,银行,恒生银行,00011.HK,2091.6,ODSH,11,209.15,109.400,61.82,0011.HK,,M,4.11,-1.35,22.10,-1.500,HKD,恒生銀行,B,,,-1.35,109.400
00012,恒基地產,N,地產建築,地產,地產發展商,111351901069.0,2023-07-18T16:40:11,地产建筑,地产,地产发展商,恒基地产,00012.HK,1113.5,ODSH,12,111.35,23.000,41.00,0012.HK,,M,7.83,-1.71,12.05,-0.400,HKD,恒基地產,B,,,-1.71,23.000
00013,和黃醫藥,N,醫療保健,藥品及生物科技,藥品,17626385507.5,2023-07-18T16:40:11,医疗保健,药品及生物科技,药品,和黄医药,00013.HK,176.3,ODSH,13,17.62,20.350,27.04,0013.HK,,M,,-1.93,,-0.400,HKD,和黃醫藥,B,,,-1.93,20.350
00014,希慎興業,N,地產建築,地產,地產投資,19020192289.96,2023-07-18T16:40:11,地产建筑,地产,地产投资,希慎兴业,00014.HK,190.2,ODSH,14,19.02,18.520,21.09,0014.HK,,M,7.78,-2.01,,-0.380,HKD,希慎興業,B,,,-2.01,18.520
00016,新鴻基地產,N,地產建築,地產,地產發展商,277752239262.9,2023-07-18T16:40:11,地产建筑,地产,地产发展商,新鸿基地产,00016.HK,2777.5,ODSH,16,277.75,95.850,332.53,0016.HK,,M,5.16,-1.64,10.87,-1.600,HKD,新鴻基地產,B,,,-1.64,95.850
00017,新世界發展,N,地產建築,地產,地產發展商,46104719692.72,2023-07-18T16:40:11,地产建筑,地产,地产发展商,新世界发展,00017.HK,461.0,ODSH,17,46.10,18.320,75.41,0017.HK,,M,10.70,-2.66,36.94,-0.500,HKD,新世界發展,B,,,-2.66,18.320
00018,東方企控集團,N,非必需性消費,媒體及娛樂,出版,1366813201.86,2023-07-18T16:40:11,非必需性消费,媒体及娱乐,出版,东方企控集团,00018.HK,13.7,ODSH,18,1.36,0.570,76.58,0018.HK,,K,8.77,0.00,8.20,0.000,HKD,東方企控集團,B,,,0.0,0.570
00019,太古股份公司A,N,綜合企業,綜合企業,綜合企業,52908912875.0,2023-07-18T16:40:11,综合企业,综合企业,综合企业,太古股份公司A,00019.HK,529.1,ODSH,19,52.90,61.750,90.36,0019.HK,,M,4.86,-1.12,22.00,-0.700,HKD,太古股份公司Ａ,B,,,-1.12,61.750
00020,商湯-W,N,資訊科技,軟件服務,軟件開發,60244065000.0,2023-07-18T16:40:11,科技,软件服务,软件开发,商汤-W,00020.HK,602.4,ODSH,20,60.24,1.800,372.58,0020.HK,,M,,-6.25,,-0.120,HKD,商湯－Ｗ,B,,,-6.25,1.800
00021,大中華控股,N,地產建築,地產,地產發展商,337894839.51,2023-07-18T16:40:11,地产建筑,地产,地产发展商,大中华控股,00021.HK,3.4,ODSH,21,337.89,0.085,,0021.HK,,,,0.00,6.39,0.000,HKD,大中華控股,M,,,0.0,0.085
